Date/Time SNT;MBA;Load Profile [MWh]
01.01.2024/00:00;SE1, SE2, SE3, SE4;-1374,782088
01.01.2024/00:15;SE1, SE2, SE3, SE4;-1370,721001
01.01.2024/00:30;SE1, SE2, SE3, SE4;-1374,091141
01.01.2024/00:45;SE1, SE2, SE3, SE4;-1372,158121
01.01.2024/01:00;SE1, SE2, SE3, SE4;-1351,259862
01.01.2024/01:15;SE1, SE2, SE3, SE4;-1352,091492
01.01.2024/01:30;SE1, SE2, SE3, SE4;-1346,843745
01.01.2024/01:45;SE1, SE2, SE3, SE4;-1348,870416
01.01.2024/02:00;SE1, SE2, SE3, SE4;-1328,324052
01.01.2024/02:15;SE1, SE2, SE3, SE4;-1324,726161
01.01.2024/02:30;SE1, SE2, SE3, SE4;-1320,813083
01.01.2024/02:45;SE1, SE2, SE3, SE4;-1318,295708
01.01.2024/03:00;SE1, SE2, SE3, SE4;-1299,985181
01.01.2024/03:15;SE1, SE2, SE3, SE4;-1299,199395
01.01.2024/03:30;SE1, SE2, SE3, SE4;-1296,237861
01.01.2024/03:45;SE1, SE2, SE3, SE4;-1293,865986
01.01.2024/04:00;SE1, SE2, SE3, SE4;-1288,082742
01.01.2024/04:15;SE1, SE2, SE3, SE4;-1285,52581
01.01.2024/04:30;SE1, SE2, SE3, SE4;-1286,423842
01.01.2024/04:45;SE1, SE2, SE3, SE4;-1284,902847
01.01.2024/05:00;SE1, SE2, SE3, SE4;-1292,447417
01.01.2024/05:15;SE1, SE2, SE3, SE4;-1291,500175
01.01.2024/05:30;SE1, SE2, SE3, SE4;-1291,271312
01.01.2024/05:45;SE1, SE2, SE3, SE4;-1292,114019
01.01.2024/06:00;SE1, SE2, SE3, SE4;-1306,438638
01.01.2024/06:15;SE1, SE2, SE3, SE4;-1305,233796
01.01.2024/06:30;SE1, SE2, SE3, SE4;-1305,331575
01.01.2024/06:45;SE1, SE2, SE3, SE4;-1307,970237
01.01.2024/07:00;SE1, SE2, SE3, SE4;-1325,159612
01.01.2024/07:15;SE1, SE2, SE3, SE4;-1327,187899
01.01.2024/07:30;SE1, SE2, SE3, SE4;-1326,7161
01.01.2024/07:45;SE1, SE2, SE3, SE4;-1331,793585
01.01.2024/08:00;SE1, SE2, SE3, SE4;-1354,584401
01.01.2024/08:15;SE1, SE2, SE3, SE4;-1362,518147
01.01.2024/08:30;SE1, SE2, SE3, SE4;-1360,254974
01.01.2024/08:45;SE1, SE2, SE3, SE4;-1360,733875
01.01.2024/09:00;SE1, SE2, SE3, SE4;-1392,137776
01.01.2024/09:15;SE1, SE2, SE3, SE4;-1400,296478
