;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;<---------------------------Produktion----------------------->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tid;Total förbrukning;Vindkraft;Vattenkraft;Kärnkraft;Övr.värmekraft;Ospec. prod.;Solkraft;Energilager;Total produktion;Import/export;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 0:00;-16120,07;4172,93;5881,94;6300,99;809,77;27,60;0,94;0,00;17194,16;-1069,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 1:00;-16005,17;4149,31;5607,85;6302,19;802,49;29,43;0,94;0,00;16892,21;-882,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 2:00;-15794,36;4153,78;5383,49;6301,92;795,06;29,54;0,97;0,00;16664,76;-865,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 3:00;-15645,52;4172,89;5281,01;6302,21;808,63;29,13;0,92;0,00;16594,80;-944,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 4:00;-15663,32;4192,74;5362,25;6302,80;816,44;30,04;0,98;0,00;16705,26;-1037,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 5:00;-15778,22;4180,86;5180,97;6303,36;817,05;30,65;1,06;0,00;16513,95;-731,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 6:00;-16074,55;4162,17;5275,05;6302,91;844,18;29,68;1,27;0,00;16615,26;-536,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 7:00;-16348,52;4105,44;5461,49;6302,40;859,67;27,85;1,62;0,00;16758,48;-405,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 8:00;-16613,66;4106,22;5844,05;6302,38;884,43;26,96;1,73;0,00;17165,76;-546,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 9:00;-16904,16;4128,66;6266,43;6302,59;919,48;25,38;2,89;0,00;17645,43;-736,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 10:00;-17217,87;4105,82;7161,11;6304,53;973,96;23,49;3,78;0,00;18572,68;-1350,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 11:00;-17626,90;4109,95;8125,08;6305,08;996,70;27,45;5,02;0,00;19569,29;-1937,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 12:00;-17895,87;4045,78;8557,15;6302,57;1013,48;25,28;5,77;0,00;19950,02;-2049,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 13:00;-18041,35;4035,19;9047,15;6302,24;1042,67;24,72;4,17;0,00;20456,15;-2409,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 14:00;-18387,95;4105,95;9783,99;6303,01;1050,97;26,35;2,54;0,00;21272,82;-2879,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 15:00;-18873,64;4133,42;10664,78;6304,26;1075,02;22,83;1,36;0,00;22201,67;-3322,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 16:00;-19213,26;4277,03;10934,93;6304,33;1088,19;24,02;1,38;0,00;22629,89;-3411,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 17:00;-19254,45;4284,16;11003,46;6303,53;1100,65;23,38;1,46;0,00;22716,64;-3456,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 18:00;-19017,47;4234,86;10855,73;6304,47;1090,11;20,87;1,25;0,00;22507,30;-3484,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 19:00;-18695,17;4242,74;10550,20;6304,34;1080,15;18,43;1,07;0,00;22196,93;-3496,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 20:00;-18349,41;4275,74;10028,95;6304,79;1066,95;23,12;0,98;0,00;21700,53;-3346,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 21:00;-17917,26;4288,50;9111,58;6304,68;1044,64;22,42;1,35;0,00;20773,18;-2851,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 22:00;-17444,86;4317,15;8882,44;6302,93;1006,34;21,96;0,95;0,00;20531,77;-3082,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.2024 23:00;-17072,05;4274,15;7263,90;6303,78;959,29;23,32;0,99;0,00;18825,42;-1748,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 0:00;-16801,58;4227,36;6572,38;6304,46;923,65;25,51;1,06;0,00;18054,42;-1252,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 1:00;-16713,05;4286,77;6339,08;6305,54;923,53;26,52;0,91;0,00;17882,36;-1169,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 2:00;-16699,15;4395,48;6195,40;6304,38;902,04;24,78;0,91;0,00;17822,98;-1123,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 3:00;-16762,80;4478,23;6145,09;6304,06;923,29;26,05;0,91;0,00;17877,63;-1114,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 4:00;-16904,74;4430,32;6514,01;6302,23;935,58;25,53;0,98;0,00;18208,65;-1303,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 5:00;-17494,72;4414,63;7302,72;6304,63;942,70;23,14;1,08;0,00;18988,91;-1494,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 6:00;-18725,81;4451,01;9047,93;6304,29;977,24;23,05;1,29;0,00;20804,80;-2078,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 7:00;-19919,28;4541,88;10745,69;6304,47;1044,07;20,52;1,58;0,00;22658,21;-2738,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 8:00;-20674,13;4569,76;11292,16;6303,23;1063,69;21,33;1,63;0,00;23251,79;-2581,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 9:00;-20961,72;4637,21;11635,07;6306,80;1059,90;20,92;2,34;0,00;23662,24;-2700,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 10:00;-21388,77;4612,52;12132,45;6305,58;1044,60;19,81;4,06;0,00;24119,00;-2730,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 11:00;-21566,59;4666,71;12377,19;6305,96;1043,47;19,08;5,53;0,00;24417,93;-2851,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 12:00;-21701,92;4713,23;12454,20;6305,39;1046,92;19,65;5,80;0,00;24545,20;-2843,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 13:00;-21698,27;4748,74;12291,23;6305,82;1048,69;23,03;4,98;0,00;24422,49;-2724,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 14:00;-21791,67;4824,01;12352,16;6305,04;1066,59;23,72;2,76;0,00;24574,27;-2782,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2024 15:00;-22181,35;4998,32;12319,57;6305,18;1070,64;26,89;1,52;0,00;24722,12;-2540,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
